date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	gopalpur	19.2582	84.9051	23.23	75.5	1011.51	8.64	33	4.67	61.0	18.64	0.0	0	0
2005-01-02	gopalpur	19.2582	84.9051	19.87	56.4	1019.33	8.66	337	17.4	47.6	10.95	0.0	0	0
2005-01-03	gopalpur	19.2582	84.9051	24.6	57.5	1010.09	7.77	184	8.23	10.9	15.65	0.0	0	0
2005-01-04	gopalpur	19.2582	84.9051	22.17	61.8	1008.22	8.71	32	4.6	5.4	14.48	0.0	0	0
2005-01-05	gopalpur	19.2582	84.9051	22.3	55.8	1011.08	5.71	76	7.16	0.0	13.04	0.0	0	0
2005-01-06	gopalpur	19.2582	84.9051	22.9	52.1	1008.41	9.35	160	16.53	55.7	12.55	0.0	0	0
2005-01-07	gopalpur	19.2582	84.9051	19.71	61.4	1014.88	4.35	156	17.99	42.2	12.06	0.0	0	0
2005-01-08	gopalpur	19.2582	84.9051	21.27	64.2	1007.98	10.11	290	12.55	12.9	14.22	0.0	0	0
2005-01-09	gopalpur	19.2582	84.9051	22.23	85.8	1017.3	11.66	220	15.59	35.0	19.74	0.0	0	0
2005-01-10	gopalpur	19.2582	84.9051	24.14	71.9	1011.8	7.0	309	14.01	34.7	18.73	0.0	0	0
2005-01-11	gopalpur	19.2582	84.9051	24.23	58.8	1013.08	10.03	152	14.49	11.0	15.65	0.0	0	0
2005-01-12	gopalpur	19.2582	84.9051	21.7	58.3	1014.17	9.81	281	25.08	12.6	13.14	0.0	0	0
2005-01-13	gopalpur	19.2582	84.9051	20.14	46.1	1008.42	13.46	109	21.16	44.0	8.18	0.0	0	0
2005-01-14	gopalpur	19.2582	84.9051	23.7	62.0	1016.27	6.9	52	16.25	36.0	15.97	0.0	0	0
2005-01-15	gopalpur	19.2582	84.9051	21.3	74.7	1014.63	12.26	326	9.92	18.2	16.62	0.0	0	0
2005-01-16	gopalpur	19.2582	84.9051	24.23	58.9	1012.6	11.33	83	9.68	38.6	15.67	0.0	0	0
2005-01-17	gopalpur	19.2582	84.9051	23.27	51.3	1016.12	9.9	103	15.22	69.3	12.64	0.0	0	0
2005-01-18	gopalpur	19.2582	84.9051	17.99	53.2	1017.18	11.22	54	19.44	29.9	8.31	0.0	0	0
2005-01-19	gopalpur	19.2582	84.9051	23.17	53.2	1017.04	7.29	191	8.75	45.4	13.11	0.0	0	0
2005-01-20	gopalpur	19.2582	84.9051	22.27	62.6	1019.53	4.53	64	12.69	2.1	14.79	0.0	0	0
2005-01-21	gopalpur	19.2582	84.9051	19.15	53.2	1013.01	6.97	236	11.56	53.3	9.4	0.0	0	0
