date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	nagpur	21.1458	79.0882	22.42	66.3	1014.13	8.72	88	17.08	39.2	15.82	0.0	0	0
2005-01-02	nagpur	21.1458	79.0882	21.42	61.5	1012.73	12.46	45	12.11	0.0	13.7	0.0	0	0
2005-01-03	nagpur	21.1458	79.0882	22.83	67.1	1009.03	5.17	167	14.46	39.4	16.38	0.0	0	0
2005-01-04	nagpur	21.1458	79.0882	20.51	57.0	1010.17	10.99	48	22.21	22.7	11.69	0.0	0	0
2005-01-05	nagpur	21.1458	79.0882	21.43	70.6	1007.51	4.48	202	3.38	6.5	15.85	0.0	0	0
2005-01-06	nagpur	21.1458	79.0882	22.98	62.2	1019.38	12.22	346	13.45	27.8	15.34	0.0	0	0
2005-01-07	nagpur	21.1458	79.0882	24.87	60.2	1014.57	7.75	233	19.68	14.8	16.62	0.0	0	0
2005-01-08	nagpur	21.1458	79.0882	22.72	61.7	1019.48	9.26	185	18.99	55.1	14.99	0.0	0	0
2005-01-09	nagpur	21.1458	79.0882	18.27	63.0	1015.09	12.27	216	14.76	53.2	11.11	0.0	0	0
2005-01-10	nagpur	21.1458	79.0882	21.46	60.3	1004.55	3.03	93	22.2	32.7	13.43	4.16	1	0
2005-01-11	nagpur	21.1458	79.0882	20.03	63.0	1010.08	12.21	39	21.84	17.5	12.77	0.0	0	0
2005-01-12	nagpur	21.1458	79.0882	20.83	71.7	1012.35	9.32	46	14.44	32.3	15.53	0.0	0	0
2005-01-13	nagpur	21.1458	79.0882	19.08	65.3	1017.47	3.45	79	16.37	54.4	12.41	0.0	0	0
2005-01-14	nagpur	21.1458	79.0882	18.45	62.8	1009.44	8.53	230	11.08	10.5	11.22	0.0	0	0
2005-01-15	nagpur	21.1458	79.0882	21.7	53.6	1014.66	7.23	209	4.64	5.1	11.88	0.0	0	0
2005-01-16	nagpur	21.1458	79.0882	17.56	78.6	1012.28	10.95	266	18.36	0.0	13.79	0.0	0	0
2005-01-17	nagpur	21.1458	79.0882	20.99	69.5	1011.74	12.63	146	15.75	32.0	15.2	0.0	0	0
2005-01-18	nagpur	21.1458	79.0882	24.32	66.2	1009.56	9.37	340	13.85	65.2	17.6	0.0	0	0
2005-01-19	nagpur	21.1458	79.0882	20.83	64.6	1014.97	14.23	3	9.74	61.8	13.91	0.0	0	0
2005-01-20	nagpur	21.1458	79.0882	17.96	62.0	1007.63	8.52	149	15.59	50.2	10.57	0.0	0	0
2005-01-21	nagpur	21.1458	79.0882	24.07	66.6	1014.17	7.66	138	17.37	29.3	17.45	0.0	0	0
2005-01-22	nagpur	21.1458	79.0882	22.96	65.8	1008.35	7.53	70	18.69	39.2	16.21	0.0	0	0
2005-01-23	nagpur	21.1458	79.0882	17.12	43.8	1009.74	14.06	236	26.52	30.9	4.7	0.0	0	0
2005-01-24	nagpur	21.1458	79.0882	22.94	52.8	1011.43	5.5	86	14.96	30.9	12.77	0.0	0	0
2005-01-25	nagpur	21.1458	79.0882	20.11	68.4	1009.26	9.71	100	4.08	55.9	14.1	0.0	0	0
2005-01-26	nagpur	21.1458	79.0882	19.79	65.5	1010.45	7.17	51	13.94	43.8	13.12	3.87	1	0
2005-01-27	nagpur	21.1458	79.0882	18.61	56.0	1014.67	9.67	329	16.16	34.4	9.67	0.0	0	0
2005-01-28	nagpur	21.1458	79.0882	17.41	63.0	1011.02	8.86	214	5.42	23.9	10.28	0.0	0	0
