date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	ennore	13.2124	80.3249	21.44	70.0	1014.92	13.26	65	21.54	77.5	15.74	6.01	1	0
2005-01-02	ennore	13.2124	80.3249	22.89	75.1	1016.68	7.43	140	13.02	24.1	18.24	0.0	0	0
2005-01-03	ennore	13.2124	80.3249	24.36	72.4	1015.18	11.14	225	14.13	39.3	19.06	0.0	0	0
2005-01-04	ennore	13.2124	80.3249	22.48	60.7	1007.26	7.72	162	15.44	33.8	14.49	0.0	0	0
2005-01-05	ennore	13.2124	80.3249	21.96	66.4	1014.38	6.83	297	12.73	70.5	15.4	0.0	0	0
2005-01-06	ennore	13.2124	80.3249	21.65	68.8	1007.24	9.15	247	0.57	0.0	15.66	0.0	0	0
2005-01-07	ennore	13.2124	80.3249	23.92	75.2	1007.92	6.15	345	17.05	59.7	19.25	0.0	0	0
2005-01-08	ennore	13.2124	80.3249	21.23	52.2	1007.38	7.89	69	8.64	0.0	11.04	0.0	0	0
2005-01-09	ennore	13.2124	80.3249	18.54	75.8	1008.11	4.23	50	16.61	0.0	14.18	0.0	0	0
2005-01-10	ennore	13.2124	80.3249	19.93	65.5	1013.47	9.2	152	18.08	64.7	13.28	9.92	2	0
2005-01-11	ennore	13.2124	80.3249	21.61	77.2	1009.84	8.26	325	10.86	25.3	17.43	8.56	2	0
2005-01-12	ennore	13.2124	80.3249	19.33	62.3	1019.72	8.25	269	10.76	16.1	11.93	0.0	0	0
2005-01-13	ennore	13.2124	80.3249	23.48	72.5	1010.49	7.83	26	17.13	23.6	18.25	0.0	0	0
2005-01-14	ennore	13.2124	80.3249	24.4	72.7	1010.28	6.69	190	24.51	62.4	19.18	0.0	0	0
2005-01-15	ennore	13.2124	80.3249	17.73	74.9	1016.92	9.28	302	18.35	77.0	13.21	0.0	0	0
2005-01-16	ennore	13.2124	80.3249	21.15	68.5	1014.36	10.39	172	16.53	33.7	15.12	1.82	1	0
2005-01-17	ennore	13.2124	80.3249	20.23	79.2	1016.73	9.93	97	22.1	36.8	16.51	0.0	0	0
2005-01-18	ennore	13.2124	80.3249	20.03	65.6	1019.8	9.35	77	10.53	44.6	13.39	0.0	0	0
2005-01-19	ennore	13.2124	80.3249	18.19	67.5	1013.14	5.51	187	17.21	26.6	12.08	0.0	0	0
2005-01-20	ennore	13.2124	80.3249	21.72	59.6	1013.43	5.6	342	14.9	57.2	13.49	0.0	0	0
2005-01-21	ennore	13.2124	80.3249	18.91	72.1	1010.35	13.81	221	12.96	52.7	13.76	0.0	0	0
2005-01-22	ennore	13.2124	80.3249	18.8	69.1	1015.11	9.56	328	15.27	8.8	13.01	0.0	0	0
2005-01-23	ennore	13.2124	80.3249	24.84	76.0	1016.3	7.89	337	11.06	53.0	20.32	0.0	0	0
2005-01-24	ennore	13.2124	80.3249	19.33	62.1	1013.36	9.41	254	7.76	14.2	11.87	0.0	0	0
2005-01-25	ennore	13.2124	80.3249	20.9	86.4	1017.75	8.24	234	19.4	52.5	18.54	0.0	0	0
2005-01-26	ennore	13.2124	80.3249	17.94	65.6	1011.29	10.9	163	14.8	60.9	11.41	0.0	0	0
2005-01-27	ennore	13.2124	80.3249	20.57	73.7	1012.94	5.06	351	21.85	45.6	15.71	0.0	0	0
2005-01-28	ennore	13.2124	80.3249	23.16	65.0	1011.36	4.24	136	13.41	47.9	16.21	0.0	0	0
2005-01-29	ennore	13.2124	80.3249	21.5	69.6	1013.97	6.38	96	19.79	6.9	15.7	0.0	0	0
2005-01-30	ennore	13.2124	80.3249	18.58	59.4	1018.01	9.86	143	15.13	54.5	10.52	0.0	0	0
2005-01-31	ennore	13.2124	80.3249	22.12	58.5	1018.4	5.27	77	10.3	6.1	13.59	0.0	0	0
2005-02-01	ennore	13.2124	80.3249	20.44	65.1	1013.24	3.05	3	14.28	52.4	13.66	0.0	0	0
2005-02-02	ennore	13.2124	80.3249	20.75	72.1	1017.05	6.32	261	18.72	32.2	15.54	0.0	0	0
2005-02-03	ennore	13.2124	80.3249	19.42	75.3	1013.0	10.77	242	17.64	40.5	14.94	0.0	0	0
2005-02-04	ennore	13.2124	80.3249	15.99	65.4	1011.83	3.93	235	19.11	88.2	9.51	5.25	1	0
2005-02-05	ennore	13.2124	80.3249	18.07	69.7	1016.91	5.52	342	16.05	12.5	12.44	0.0	0	0
2005-02-06	ennore	13.2124	80.3249	22.67	63.2	1017.61	12.41	304	19.73	27.1	15.3	0.0	0	0
2005-02-07	ennore	13.2124	80.3249	17.41	67.4	1007.76	13.72	169	14.37	53.6	11.31	0.0	0	0
2005-02-08	ennore	13.2124	80.3249	18.68	62.7	1014.05	4.65	177	14.64	56.5	11.42	0.13	1	0
2005-02-09	ennore	13.2124	80.3249	21.43	76.8	1011.92	6.36	241	14.25	72.9	17.19	0.0	0	0
2005-02-10	ennore	13.2124	80.3249	20.18	57.0	1011.77	3.66	188	9.67	26.6	11.38	0.0	0	0
2005-02-11	ennore	13.2124	80.3249	18.71	58.3	1014.64	6.45	53	18.16	6.3	10.35	0.0	0	0
