date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	nellore	14.4426	79.9865	22.2	61.5	1015.96	7.96	321	16.36	27.5	14.44	0.0	0	0
2005-01-02	nellore	14.4426	79.9865	19.06	77.5	1017.12	10.86	90	12.18	13.1	15.03	0.0	0	0
2005-01-03	nellore	14.4426	79.9865	23.68	70.4	1012.77	10.16	81	17.12	64.5	17.95	0.43	1	0
2005-01-04	nellore	14.4426	79.9865	23.92	90.5	1010.32	10.39	153	21.42	73.2	22.27	1.69	1	0
2005-01-05	nellore	14.4426	79.9865	22.55	74.4	1012.26	9.08	166	15.6	56.9	17.76	0.0	0	0
2005-01-06	nellore	14.4426	79.9865	26.18	83.7	1013.66	13.31	306	10.84	44.6	23.2	0.0	0	0
2005-01-07	nellore	14.4426	79.9865	22.72	63.2	1018.73	4.63	186	24.45	53.2	15.34	0.0	0	0
2005-01-08	nellore	14.4426	79.9865	21.03	84.2	1006.8	4.61	318	17.59	44.1	18.26	0.0	0	0
2005-01-09	nellore	14.4426	79.9865	23.22	57.5	1016.46	7.79	38	21.52	11.9	14.37	0.0	0	0
2005-01-10	nellore	14.4426	79.9865	23.84	77.9	1010.92	5.06	193	16.6	37.7	19.74	0.0	0	0
2005-01-11	nellore	14.4426	79.9865	23.88	51.4	1010.54	6.18	254	9.51	32.0	13.24	0.0	0	0
2005-01-12	nellore	14.4426	79.9865	21.51	73.5	1016.8	2.37	316	9.03	60.1	16.57	0.0	0	0
2005-01-13	nellore	14.4426	79.9865	19.3	54.9	1013.47	9.91	244	15.21	35.9	10.01	0.0	0	0
2005-01-14	nellore	14.4426	79.9865	22.98	70.1	1014.64	5.52	288	10.16	28.3	17.23	0.0	0	0
2005-01-15	nellore	14.4426	79.9865	25.15	78.1	1010.23	8.64	22	21.37	57.0	21.05	0.0	0	0
2005-01-16	nellore	14.4426	79.9865	20.81	70.3	1013.95	10.41	355	10.41	59.4	15.19	0.0	0	0
2005-01-17	nellore	14.4426	79.9865	22.26	72.5	1011.29	6.01	63	12.02	61.7	17.06	0.0	0	0
