Latitude	Longitude	Date	Temperature	Humidity	Wind Speed	Pressure	Rainfall	Cloud Cover	Air Pollution	Event
13.08	80.27	2014-01-01	25.782660698264223	77.74097017737223	17.331544873451627	1010.3676134146428	0.0	5.540348917282156	48.334099357684345	Normal
13.08	80.27	2014-01-02	27.506839706474043	81.41964581291985	7.804390808882855	1005.3846615167122	0.0	23.400196289010033	54.09097036496728	Normal
13.08	80.27	2014-01-03	22.44843229129437	62.23924732198881	11.468505638043471	1008.9908317164649	0.0	32.6909892549483	56.66558794999868	Normal
13.08	80.27	2014-01-04	28.92328449569767	63.65080223695699	18.0852412975799	1011.493129913775	0.0	36.73019428695133	67.29989808637004	Normal
13.08	80.27	2014-01-05	23.989454344830555	61.54801349658394	16.80790689828616	1009.5488145286041	0.0	36.259353157462684	81.20881321630112	Normal
13.08	80.27	2014-01-06	24.918856988913042	67.90669009653202	11.868192653524805	1008.2217017002037	0.0	16.043001508201606	68.26476979401014	Normal
13.08	80.27	2014-01-07	24.78167604232864	73.88968770394587	11.329525632483225	1014.1599761828834	0.0	11.892228538858351	77.60514250714397	Normal
13.08	80.27	2014-01-08	24.437713676988558	70.4652239556326	6.228072839169817	1009.6330419781992	0.0	40.55121548764918	76.7319312199744	Normal
13.08	80.27	2014-01-09	29.970570168932692	71.52192121230524	17.073813955686617	1009.0577751228612	0.0	34.271033321766815	86.49408103397803	Normal
13.08	80.27	2014-01-10	27.385682681578317	63.288467058271394	16.661621194542207	1011.7089009051656	0.0	42.55844053571194	63.16856386734954	Normal
13.08	80.27	2014-01-11	22.612295228662113	85.46173926333759	14.029489130182455	1014.1539763513581	0.0	43.46022328281606	41.36566787210231	Normal
13.08	80.27	2014-01-12	22.16021617019509	81.24816147949494	14.139120096734755	1008.3945740351589	0.0	49.215212813271066	80.53601202988796	Normal
13.08	80.27	2014-01-13	27.746681965770954	67.80131539051234	5.188076152929009	1005.553361017197	0.0	24.337536643425334	97.81314270309066	Normal
13.08	80.27	2014-01-14	22.13541544125772	82.09925021098935	11.67481918831765	1005.142375834193	0.0	46.394333797194214	90.53598718555784	Normal
13.08	80.27	2014-01-15	29.579223386893855	73.10205825968643	14.961573413615952	1013.5361059032251	0.0	13.913881182045623	84.41756167796362	Normal
13.08	80.27	2014-01-16	28.718639114270765	86.36842029937966	5.04707853180358	1006.5718700265124	0.0	5.071654666535618	99.70842435158004	Normal
