date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	bhopal	23.2599	77.4126	21.73	67.4	1006.01	7.15	209	26.32	30.4	15.43	0.0	0	0
2005-01-02	bhopal	23.2599	77.4126	25.28	56.7	1020.06	10.27	303	5.16	19.6	16.05	0.0	0	0
2005-01-03	bhopal	23.2599	77.4126	22.12	58.9	1017.68	8.84	243	20.38	23.4	13.69	0.0	0	0
2005-01-04	bhopal	23.2599	77.4126	20.07	63.9	1014.1	9.35	305	16.27	73.4	13.02	0.0	0	0
2005-01-05	bhopal	23.2599	77.4126	24.68	53.3	1015.31	8.79	87	4.94	25.5	14.54	0.44	1	0
2005-01-06	bhopal	23.2599	77.4126	22.68	61.4	1013.47	9.61	87	19.26	29.5	14.88	0.0	0	0
2005-01-07	bhopal	23.2599	77.4126	20.5	67.2	1012.99	9.59	320	11.5	41.2	14.21	0.0	0	0
2005-01-08	bhopal	23.2599	77.4126	19.47	66.5	1015.57	14.43	233	13.44	36.9	13.07	0.0	0	0
2005-01-09	bhopal	23.2599	77.4126	22.23	48.3	1018.59	6.05	8	12.01	37.3	10.78	0.0	0	0
2005-01-10	bhopal	23.2599	77.4126	22.76	55.7	1013.4	8.07	337	17.48	39.1	13.43	0.0	0	0
2005-01-11	bhopal	23.2599	77.4126	18.98	69.8	1017.36	10.35	351	15.63	32.4	13.33	1.99	1	0
2005-01-12	bhopal	23.2599	77.4126	21.74	57.7	1018.38	3.28	127	8.91	19.1	13.01	0.0	0	0
2005-01-13	bhopal	23.2599	77.4126	20.44	74.8	1011.88	0.0	308	17.3	11.2	15.81	0.01	1	0
2005-01-14	bhopal	23.2599	77.4126	17.64	55.5	1017.1	8.63	187	16.81	38.7	8.62	0.0	0	0
2005-01-15	bhopal	23.2599	77.4126	17.08	45.1	1013.12	4.91	175	11.74	39.9	5.09	0.0	0	0
2005-01-16	bhopal	23.2599	77.4126	23.55	55.8	1008.04	8.85	162	14.15	12.4	14.19	0.0	0	0
2005-01-17	bhopal	23.2599	77.4126	20.32	49.3	1016.31	7.43	310	15.59	21.7	9.33	0.0	0	0
2005-01-18	bhopal	23.2599	77.4126	19.1	62.6	1017.65	12.72	338	18.11	26.3	11.79	0.0	0	0
2005-01-19	bhopal	23.2599	77.4126	23.07	48.7	1007.57	9.74	142	22.54	20.6	11.68	0.0	0	0
2005-01-20	bhopal	23.2599	77.4126	19.13	48.6	1011.04	12.8	41	22.79	31.2	8.04	0.0	0	0
2005-01-21	bhopal	23.2599	77.4126	19.11	54.8	1014.85	6.41	263	16.39	0.0	9.8	0.0	0	0
2005-01-22	bhopal	23.2599	77.4126	19.17	62.8	1006.09	8.24	115	16.68	33.7	11.9	0.0	0	0
2005-01-23	bhopal	23.2599	77.4126	17.11	68.5	1011.48	10.42	120	16.75	30.3	11.27	0.0	0	0
2005-01-24	bhopal	23.2599	77.4126	17.29	59.7	1017.02	3.25	221	27.72	13.5	9.37	0.0	0	0
2005-01-25	bhopal	23.2599	77.4126	25.08	55.2	1007.47	7.98	1	17.93	16.4	15.46	0.0	0	0
2005-01-26	bhopal	23.2599	77.4126	20.51	55.6	1015.81	10.1	208	19.23	45.7	11.3	0.0	0	0
2005-01-27	bhopal	23.2599	77.4126	19.15	56.1	1014.88	9.01	312	7.7	19.7	10.17	0.0	0	0
2005-01-28	bhopal	23.2599	77.4126	19.32	50.6	1006.71	4.22	324	19.96	42.9	8.8	0.0	0	0
2005-01-29	bhopal	23.2599	77.4126	17.56	70.3	1020.02	7.62	64	10.33	20.5	12.09	0.0	0	0
2005-01-30	bhopal	23.2599	77.4126	18.6	56.9	1013.46	7.52	17	14.54	3.3	9.88	0.0	0	0
2005-01-31	bhopal	23.2599	77.4126	16.17	46.7	1013.8	13.83	306	19.95	15.2	4.76	0.0	0	0
2005-02-01	bhopal	23.2599	77.4126	19.49	56.7	1015.23	10.9	230	11.34	32.7	10.67	0.0	0	0
2005-02-02	bhopal	23.2599	77.4126	15.06	55.4	1014.25	5.2	10	0.1	9.4	6.19	0.0	0	0
2005-02-03	bhopal	23.2599	77.4126	15.66	54.8	1017.97	11.19	215	17.23	7.1	6.59	0.0	0	0
2005-02-04	bhopal	23.2599	77.4126	20.07	67.4	1013.0	8.07	246	17.95	22.9	13.84	0.0	0	0
2005-02-05	bhopal	23.2599	77.4126	17.64	60.1	1006.22	9.05	182	11.36	12.2	9.79	0.0	0	0
2005-02-06	bhopal	23.2599	77.4126	16.28	59.4	1017.59	12.23	114	22.97	44.4	8.36	0.0	0	0
2005-02-07	bhopal	23.2599	77.4126	18.19	58.0	1013.64	11.31	161	14.88	33.3	9.79	2.64	1	0
2005-02-08	bhopal	23.2599	77.4126	17.76	49.8	1010.12	5.97	322	16.18	14.4	7.13	0.0	0	0
2005-02-09	bhopal	23.2599	77.4126	16.16	60.9	1018.68	6.35	190	13.45	0.0	8.6	0.0	0	0
2005-02-10	bhopal	23.2599	77.4126	19.57	52.3	1010.62	8.91	349	17.56	43.0	9.53	0.0	0	0
2005-02-11	bhopal	23.2599	77.4126	17.41	54.3	1014.23	5.93	103	9.83	30.3	8.08	0.0	0	0
2005-02-12	bhopal	23.2599	77.4126	16.98	68.6	1015.25	8.85	15	10.78	0.0	11.15	0.0	0	0
2005-02-13	bhopal	23.2599	77.4126	15.1	65.7	1012.23	5.11	356	0.1	64.7	8.72	0.0	0	0
2005-02-14	bhopal	23.2599	77.4126	16.21	47.5	1010.59	10.26	214	1.38	29.8	5.04	0.0	0	0
2005-02-15	bhopal	23.2599	77.4126	13.35	43.5	1010.24	5.41	38	14.81	10.7	1.18	0.0	0	0
2005-02-16	bhopal	23.2599	77.4126	17.85	45.6	1013.03	5.79	55	17.21	36.6	5.94	2.32	1	0
2005-02-17	bhopal	23.2599	77.4126	16.7	63.0	1012.94	4.68	173	11.57	22.8	9.61	0.0	0	0
2005-02-18	bhopal	23.2599	77.4126	18.72	51.4	1009.61	5.36	273	6.03	34.0	8.48	0.0	0	0
2005-02-19	bhopal	23.2599	77.4126	16.33	39.5	1020.73	7.61	34	12.55	23.0	2.54	0.71	1	0
2005-02-20	bhopal	23.2599	77.4126	19.31	54.9	1015.43	3.35	340	10.7	0.0	10.02	0.0	0	0
2005-02-21	bhopal	23.2599	77.4126	14.63	51.0	1017.65	9.11	308	23.0	17.8	4.61	0.0	0	0
2005-02-22	bhopal	23.2599	77.4126	15.19	65.3	1015.23	6.35	352	12.33	50.5	8.73	0.0	0	0
2005-02-23	bhopal	23.2599	77.4126	18.98	51.9	1018.18	11.85	97	17.5	23.4	8.88	0.0	0	0
2005-02-24	bhopal	23.2599	77.4126	16.49	41.1	1011.29	3.76	207	16.56	51.0	3.22	0.0	0	0
2005-02-25	bhopal	23.2599	77.4126	13.66	52.2	1007.58	7.37	30	8.13	32.8	4.03	1.27	1	0
2005-02-26	bhopal	23.2599	77.4126	15.36	46.8	1016.19	9.16	83	10.32	48.6	4.04	0.0	0	0
2005-02-27	bhopal	23.2599	77.4126	16.31	50.7	1015.32	5.46	351	11.66	41.5	6.08	0.0	0	0
2005-02-28	bhopal	23.2599	77.4126	18.51	38.8	1017.2	10.03	294	16.85	80.2	4.2	0.0	0	0
2005-03-01	bhopal	23.2599	77.4126	15.26	43.9	1010.14	11.57	173	17.99	18.5	3.06	0.0	0	0
2005-03-02	bhopal	23.2599	77.4126	14.31	60.9	1012.37	5.0	179	18.88	55.1	6.87	0.0	0	0
2005-03-03	bhopal	23.2599	77.4126	15.43	51.5	1008.99	5.88	311	18.72	47.8	5.49	0.0	0	0
2005-03-04	bhopal	23.2599	77.4126	18.69	63.4	1020.62	4.55	146	12.97	34.7	11.6	6.65	1	0
2005-03-05	bhopal	23.2599	77.4126	14.62	44.3	1015.3	8.95	269	14.61	29.5	2.6	0.0	0	0
2005-03-06	bhopal	23.2599	77.4126	16.89	54.1	1015.48	4.65	127	13.9	29.8	7.54	0.0	0	0
2005-03-07	bhopal	23.2599	77.4126	13.2	48.5	1014.52	14.18	119	20.12	42.1	2.59	0.0	0	0
2005-03-08	bhopal	23.2599	77.4126	13.18	57.6	1010.11	10.95	127	14.36	26.2	4.99	0.0	0	0
2005-03-09	bhopal	23.2599	77.4126	16.01	53.4	1009.74	6.53	198	24.12	13.1	6.55	0.0	0	0
2005-03-10	bhopal	23.2599	77.4126	15.45	50.6	1013.46	6.93	234	10.3	42.7	5.25	0.0	0	0
2005-03-11	bhopal	23.2599	77.4126	14.06	50.7	1012.87	11.1	20	16.14	15.0	3.98	3.29	1	0
2005-03-12	bhopal	23.2599	77.4126	13.09	53.9	1014.11	7.26	100	14.75	34.6	3.97	0.0	0	0
2005-03-13	bhopal	23.2599	77.4126	13.44	62.9	1013.21	9.04	136	18.03	24.9	6.52	0.0	0	0
2005-03-14	bhopal	23.2599	77.4126	13.57	42.8	1014.51	7.24	271	13.59	35.2	1.15	0.0	0	0
2005-03-15	bhopal	23.2599	77.4126	13.75	51.4	1018.89	7.52	237	17.92	19.7	3.91	0.0	0	0
2005-03-16	bhopal	23.2599	77.4126	16.19	55.1	1013.03	5.74	185	12.75	50.6	7.18	0.0	0	0
2005-03-17	bhopal	23.2599	77.4126	15.21	44.2	1013.76	11.31	205	18.25	24.9	3.12	0.0	0	0
2005-03-18	bhopal	23.2599	77.4126	15.93	46.9	1013.67	4.6	311	22.41	0.0	4.59	0.0	0	0
2005-03-19	bhopal	23.2599	77.4126	15.04	46.2	1009.72	4.43	118	13.4	30.2	3.59	0.0	0	0
2005-03-20	bhopal	23.2599	77.4126	16.21	54.2	1018.35	4.12	94	17.58	36.9	6.95	0.0	0	0
2005-03-21	bhopal	23.2599	77.4126	16.52	41.7	1014.26	9.46	287	21.66	15.5	3.47	0.0	0	0
2005-03-22	bhopal	23.2599	77.4126	10.95	54.3	1012.34	11.63	359	21.79	47.6	2.07	0.0	0	0
2005-03-23	bhopal	23.2599	77.4126	15.32	63.0	1007.05	11.26	313	11.49	83.7	8.32	12.63	2	0
2005-03-24	bhopal	23.2599	77.4126	13.24	51.5	1017.81	12.6	83	21.0	88.7	3.47	0.0	0	0
2005-03-25	bhopal	23.2599	77.4126	17.83	49.9	1014.29	5.81	187	6.11	65.5	7.22	2.08	1	0
2005-03-26	bhopal	23.2599	77.4126	15.72	60.8	1012.87	8.93	20	20.41	39.2	8.18	0.0	0	0
2005-03-27	bhopal	23.2599	77.4126	14.92	50.4	1008.02	7.82	292	9.29	50.6	4.71	0.0	0	0
2005-03-28	bhopal	23.2599	77.4126	17.52	47.4	1025.42	10.49	173	27.01	15.6	6.2	0.0	0	0
2005-03-29	bhopal	23.2599	77.4126	14.29	49.4	1015.7	8.66	338	16.59	22.2	3.82	0.0	0	0
2005-03-30	bhopal	23.2599	77.4126	11.97	41.0	1009.17	9.04	88	17.29	51.9	-0.86	0.0	0	0
2005-03-31	bhopal	23.2599	77.4126	17.38	60.3	1017.47	3.98	8	14.39	62.5	9.61	0.0	0	0
2005-04-01	bhopal	23.2599	77.4126	12.83	51.4	1013.28	8.34	151	9.4	30.7	3.06	0.0	0	0
2005-04-02	bhopal	23.2599	77.4126	14.72	52.5	1017.98	9.77	21	15.95	34.1	5.09	0.0	0	0
2005-04-03	bhopal	23.2599	77.4126	16.04	32.5	1009.92	7.42	313	14.88	27.0	-0.44	2.05	1	0
2005-04-04	bhopal	23.2599	77.4126	16.69	60.8	1013.06	8.41	2	18.1	7.8	9.09	0.0	0	0
2005-04-05	bhopal	23.2599	77.4126	17.34	62.1	1018.94	11.2	180	21.51	28.8	10.01	0.0	0	0
2005-04-06	bhopal	23.2599	77.4126	16.93	52.1	1002.62	4.33	90	6.69	15.9	7.03	0.0	0	0
2005-04-07	bhopal	23.2599	77.4126	14.79	38.8	1016.16	10.99	268	15.6	14.3	0.91	0.0	0	0
2005-04-08	bhopal	23.2599	77.4126	16.97	52.6	1013.84	8.71	231	2.38	26.8	7.22	1.04	1	0
2005-04-09	bhopal	23.2599	77.4126	13.46	56.7	1011.88	5.63	228	23.38	42.8	5.03	0.0	0	0
2005-04-10	bhopal	23.2599	77.4126	17.84	42.6	1011.15	13.05	324	22.72	9.9	4.96	0.0	0	0
2005-04-11	bhopal	23.2599	77.4126	14.88	53.1	1009.32	12.07	342	17.99	44.6	5.4	0.0	0	0
2005-04-12	bhopal	23.2599	77.4126	14.01	51.0	1011.26	11.89	113	19.64	13.3	4.04	0.0	0	0
2005-04-13	bhopal	23.2599	77.4126	18.61	61.8	1010.3	8.08	129	23.87	40.1	11.13	0.0	0	0
2005-04-14	bhopal	23.2599	77.4126	18.03	48.2	1011.32	4.69	147	16.52	47.9	6.92	1.44	1	0
2005-04-15	bhopal	23.2599	77.4126	15.2	56.0	1011.86	11.18	318	10.47	32.5	6.47	0.0	0	0
2005-04-16	bhopal	23.2599	77.4126	16.36	58.4	1019.32	7.3	237	22.0	4.8	8.17	0.0	0	0
2005-04-17	bhopal	23.2599	77.4126	16.39	61.8	1011.53	9.29	64	18.28	33.5	9.03	0.0	0	0
2005-04-18	bhopal	23.2599	77.4126	16.13	35.6	1011.38	6.82	178	18.44	40.8	0.9	1.46	1	0
2005-04-19	bhopal	23.2599	77.4126	11.91	54.2	1017.35	8.33	40	19.55	35.1	2.95	0.0	0	0
2005-04-20	bhopal	23.2599	77.4126	13.87	57.2	1014.18	7.94	269	11.32	37.4	5.54	2.92	1	0
2005-04-21	bhopal	23.2599	77.4126	13.57	47.8	1011.61	7.79	209	15.66	42.4	2.71	0.0	0	0
2005-04-22	bhopal	23.2599	77.4126	17.76	34.7	1008.61	2.02	286	7.15	49.5	1.99	0.0	0	0
2005-04-23	bhopal	23.2599	77.4126	16.99	42.1	1012.37	11.43	104	8.16	63.3	4.01	0.0	0	0
2005-04-24	bhopal	23.2599	77.4126	17.69	51.1	1011.4	5.42	177	19.87	28.2	7.44	0.0	0	0
2005-04-25	bhopal	23.2599	77.4126	18.25	59.7	1016.33	5.4	91	12.45	0.0	10.27	0.0	0	0
2005-04-26	bhopal	23.2599	77.4126	16.6	57.0	1016.74	6.42	114	15.39	64.9	8.05	0.0	0	0
2005-04-27	bhopal	23.2599	77.4126	15.91	61.3	1012.48	7.2	43	9.57	1.1	8.46	0.0	0	0
2005-04-28	bhopal	23.2599	77.4126	18.06	46.9	1019.75	9.06	277	6.57	36.9	6.55	0.0	0	0
2005-04-29	bhopal	23.2599	77.4126	18.58	44.7	1013.39	8.05	54	17.92	19.9	6.3	2.23	1	0
2005-04-30	bhopal	23.2599	77.4126	15.21	44.6	1003.79	8.25	257	10.33	73.1	3.24	32.89	2	0
2005-05-01	bhopal	23.2599	77.4126	16.43	53.9	1011.2	7.18	298	17.91	0.0	7.07	0.0	0	0
2005-05-02	bhopal	23.2599	77.4126	16.74	49.2	1008.4	15.93	261	16.61	43.5	6.02	0.0	0	0
2005-05-03	bhopal	23.2599	77.4126	20.48	49.0	1014.81	9.37	311	24.51	36.2	9.38	0.0	0	0
2005-05-04	bhopal	23.2599	77.4126	20.45	43.4	1018.49	8.97	261	14.81	23.4	7.59	0.0	0	0
2005-05-05	bhopal	23.2599	77.4126	20.21	65.4	1014.78	6.19	296	7.38	92.3	13.51	6.44	1	0
2005-05-06	bhopal	23.2599	77.4126	20.1	37.9	1018.07	4.59	200	14.59	25.2	5.3	0.0	0	0
2005-05-07	bhopal	23.2599	77.4126	17.42	53.2	1010.08	8.44	336	7.94	35.9	7.8	0.0	0	0
2005-05-08	bhopal	23.2599	77.4126	15.34	42.7	1010.19	9.14	96	11.42	64.0	2.74	0.0	0	0
2005-05-09	bhopal	23.2599	77.4126	17.38	54.5	1016.71	9.88	329	16.34	9.3	8.11	0.0	0	0
2005-05-10	bhopal	23.2599	77.4126	16.79	57.6	1015.13	5.25	71	8.64	22.1	8.37	0.0	0	0
2005-05-11	bhopal	23.2599	77.4126	21.61	52.9	1014.3	5.65	35	5.29	14.3	11.58	0.0	0	0
2005-05-12	bhopal	23.2599	77.4126	21.35	57.1	1006.92	4.6	212	7.11	42.3	12.5	1.57	1	0
2005-05-13	bhopal	23.2599	77.4126	22.56	44.3	1007.05	6.14	225	21.47	26.1	9.79	0.0	0	0
2005-05-14	bhopal	23.2599	77.4126	20.97	56.1	1011.78	8.37	149	20.53	50.9	11.88	0.0	0	0
2005-05-15	bhopal	23.2599	77.4126	17.12	54.0	1012.71	3.82	62	19.9	22.6	7.73	0.0	0	0
2005-05-16	bhopal	23.2599	77.4126	15.53	39.2	1010.83	7.56	129	15.35	43.6	1.69	0.0	0	0
2005-05-17	bhopal	23.2599	77.4126	17.59	46.4	1007.51	4.84	209	16.71	75.1	5.97	31.3	2	0
2005-05-18	bhopal	23.2599	77.4126	18.18	35.5	1012.97	3.88	16	8.66	49.0	2.68	0.0	0	0
2005-05-19	bhopal	23.2599	77.4126	21.84	52.4	1008.94	3.09	148	1.94	10.6	11.67	0.0	0	0
2005-05-20	bhopal	23.2599	77.4126	22.05	52.8	1014.92	7.33	358	4.85	9.6	11.94	0.0	0	0
2005-05-21	bhopal	23.2599	77.4126	21.32	38.1	1019.26	8.55	213	17.02	30.5	6.47	0.0	0	0
2005-05-22	bhopal	23.2599	77.4126	18.69	45.3	1015.98	8.38	128	10.99	19.4	6.62	0.0	0	0
2005-05-23	bhopal	23.2599	77.4126	16.43	52.2	1014.88	2.67	226	18.78	18.7	6.6	0.0	0	0
2005-05-24	bhopal	23.2599	77.4126	18.83	60.6	1012.04	7.43	258	13.89	69.8	11.03	10.61	2	0
2005-05-25	bhopal	23.2599	77.4126	21.72	60.0	1015.25	4.84	301	12.41	8.4	13.6	0.0	0	0
2005-05-26	bhopal	23.2599	77.4126	19.9	60.2	1011.52	10.05	126	19.67	0.0	11.94	0.0	0	0
2005-05-27	bhopal	23.2599	77.4126	22.81	61.0	1014.24	7.51	84	14.9	30.1	14.88	42.12	3	0
2005-05-28	bhopal	23.2599	77.4126	20.01	64.2	1009.67	4.0	336	18.09	0.0	13.04	0.0	0	0
2005-05-29	bhopal	23.2599	77.4126	21.93	59.3	1012.33	7.77	17	8.72	76.2	13.61	0.0	0	0
2005-05-30	bhopal	23.2599	77.4126	18.07	37.8	1022.56	6.87	202	13.56	10.6	3.45	0.73	1	0
2005-05-31	bhopal	23.2599	77.4126	20.01	64.0	1015.68	3.04	192	9.93	48.5	12.98	0.0	0	0
2005-06-01	bhopal	23.2599	77.4126	22.1	55.4	1012.24	16.45	101	13.1	0.0	12.74	0.0	0	0
2005-06-02	bhopal	23.2599	77.4126	23.38	36.5	1010.21	10.31	116	17.07	34.0	7.64	0.0	0	0
2005-06-03	bhopal	23.2599	77.4126	21.7	68.4	1014.73	8.59	221	9.67	29.9	15.62	0.0	0	0
2005-06-04	bhopal	23.2599	77.4126	20.69	53.4	1012.8	11.29	195	16.98	11.2	10.88	0.0	0	0
2005-06-05	bhopal	23.2599	77.4126	22.97	61.8	1009.37	9.46	355	17.34	30.5	15.25	0.0	0	0
2005-06-06	bhopal	23.2599	77.4126	23.46	44.2	1018.34	2.74	192	19.55	19.9	10.56	0.0	0	0
2005-06-07	bhopal	23.2599	77.4126	21.34	46.7	1020.16	7.65	313	22.5	20.2	9.46	0.0	0	0
2005-06-08	bhopal	23.2599	77.4126	19.79	42.1	1006.62	8.69	165	10.4	80.4	6.54	6.91	1	0
2005-06-09	bhopal	23.2599	77.4126	25.0	50.8	1002.86	3.53	142	15.43	57.9	14.09	0.0	0	0
2005-06-10	bhopal	23.2599	77.4126	23.03	53.7	1009.29	10.56	311	20.91	75.5	13.14	6.37	1	0
2005-06-11	bhopal	23.2599	77.4126	19.12	63.1	1011.87	7.14	251	6.17	0.0	11.93	0.0	0	0
2005-06-12	bhopal	23.2599	77.4126	22.5	43.4	1010.58	9.8	163	15.09	28.0	9.42	0.0	0	0
2005-06-13	bhopal	23.2599	77.4126	24.45	56.3	1008.88	3.45	281	18.3	37.7	15.18	0.0	0	0
2005-06-14	bhopal	23.2599	77.4126	22.53	51.2	1015.21	12.71	226	8.87	16.0	11.95	0.0	0	0
2005-06-15	bhopal	23.2599	77.4126	24.84	39.3	1013.72	3.61	185	11.54	0.0	10.04	0.0	0	0
2005-06-16	bhopal	23.2599	77.4126	27.13	51.1	1009.0	13.21	230	16.1	86.3	16.13	5.63	1	0
2005-06-17	bhopal	23.2599	77.4126	23.75	47.3	1013.73	7.64	79	13.82	24.8	11.85	0.0	0	0
2005-06-18	bhopal	23.2599	77.4126	25.66	52.4	1005.42	8.43	146	8.02	62.5	15.17	12.36	2	0
2005-06-19	bhopal	23.2599	77.4126	23.26	51.5	1017.21	12.31	295	10.38	24.6	12.71	0.0	0	0
2005-06-20	bhopal	23.2599	77.4126	25.28	59.0	1014.37	4.14	300	25.12	59.8	16.67	0.0	0	0
2005-06-21	bhopal	23.2599	77.4126	18.68	54.5	1008.56	6.63	36	19.66	13.7	9.32	0.0	0	0
2005-06-22	bhopal	23.2599	77.4126	22.15	63.9	1006.82	11.26	152	24.49	69.3	15.0	0.0	0	0
2005-06-23	bhopal	23.2599	77.4126	24.69	62.4	1012.55	8.62	202	24.7	39.4	17.02	0.0	0	0
2005-06-24	bhopal	23.2599	77.4126	29.68	48.1	1011.04	6.78	282	9.65	0.0	17.53	4.58	1	0
2005-06-25	bhopal	23.2599	77.4126	24.56	49.1	1010.85	2.98	78	13.52	63.2	13.16	0.0	0	0
2005-06-26	bhopal	23.2599	77.4126	26.86	57.8	1007.52	8.1	178	16.13	70.4	17.84	26.61	2	0
2005-06-27	bhopal	23.2599	77.4126	27.06	58.9	1019.68	12.28	91	16.85	49.8	18.32	0.0	0	0
2005-06-28	bhopal	23.2599	77.4126	29.22	48.4	1005.97	6.99	246	2.25	33.5	17.19	2.42	1	0
2005-06-29	bhopal	23.2599	77.4126	23.58	53.2	1012.32	5.65	93	6.73	31.7	13.48	0.0	0	0
2005-06-30	bhopal	23.2599	77.4126	23.18	61.9	1019.38	12.93	139	18.24	46.2	15.47	0.0	0	0
2005-07-01	bhopal	23.2599	77.4126	26.48	53.0	1008.17	3.53	187	18.96	30.7	16.09	0.0	0	0
2005-07-02	bhopal	23.2599	77.4126	26.1	65.5	1017.78	11.97	273	13.63	44.2	19.11	5.76	1	0
2005-07-03	bhopal	23.2599	77.4126	26.42	66.5	1015.45	7.75	196	11.4	100.0	19.68	33.94	2	0
2005-07-04	bhopal	23.2599	77.4126	29.26	48.2	1006.88	9.46	301	7.88	81.8	17.15	16.42	2	0
2005-07-05	bhopal	23.2599	77.4126	29.34	49.8	1010.89	7.18	290	18.19	64.7	17.77	7.56	2	0
2005-07-06	bhopal	23.2599	77.4126	25.85	45.4	1015.43	15.74	119	15.13	23.8	13.14	0.0	0	0
2005-07-07	bhopal	23.2599	77.4126	27.96	63.0	1009.67	8.6	111	14.73	55.7	20.25	0.0	0	0
2005-07-08	bhopal	23.2599	77.4126	27.85	58.8	1018.12	5.05	6	7.06	57.7	19.02	0.0	0	0
2005-07-09	bhopal	23.2599	77.4126	27.05	76.6	1011.54	1.06	299	20.39	25.5	22.58	0.0	0	0
2005-07-10	bhopal	23.2599	77.4126	24.92	51.0	1016.94	10.03	347	17.39	30.2	14.07	0.0	0	0
2005-07-11	bhopal	23.2599	77.4126	24.72	51.6	1019.4	8.68	105	7.87	19.6	14.08	0.0	0	0
2005-07-12	bhopal	23.2599	77.4126	23.18	55.5	1013.64	9.42	130	18.2	1.7	13.78	0.0	0	0
2005-07-13	bhopal	23.2599	77.4126	25.0	47.2	1014.83	6.9	319	10.81	55.4	12.95	0.0	0	0
2005-07-14	bhopal	23.2599	77.4126	29.34	68.8	1007.56	11.72	75	11.2	55.4	22.99	0.0	0	0
2005-07-15	bhopal	23.2599	77.4126	29.72	68.9	1007.87	24.65	36	9.93	100.0	23.38	109.76	4	0
2005-07-16	bhopal	23.2599	77.4126	27.8	62.5	1009.93	7.14	26	6.59	41.3	19.97	0.0	0	0
2005-07-17	bhopal	23.2599	77.4126	28.54	74.5	1018.51	8.83	32	6.56	54.8	23.54	0.0	0	0
2005-07-18	bhopal	23.2599	77.4126	27.66	48.9	1011.29	6.68	271	16.77	90.2	15.94	0.0	0	0
2005-07-19	bhopal	23.2599	77.4126	29.28	65.5	1010.29	5.6	133	19.41	1.8	22.13	1.67	1	0
2005-07-20	bhopal	23.2599	77.4126	31.91	69.5	1020.11	13.63	73	11.4	0.0	25.63	1.57	1	0
2005-07-21	bhopal	23.2599	77.4126	26.91	55.0	1020.89	6.33	205	20.43	2.1	17.08	0.0	0	0
