date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	delhi	28.7041	77.1025	24.65	69.3	1013.28	7.58	225	12.61	43.7	18.65	0.0	0	0
2005-01-02	delhi	28.7041	77.1025	25.34	69.5	1010.78	6.63	268	15.67	13.9	19.35	0.0	0	0
2005-01-03	delhi	28.7041	77.1025	22.44	62.5	1013.12	11.86	137	14.18	25.9	14.91	0.0	0	0
2005-01-04	delhi	28.7041	77.1025	21.3	54.5	1015.46	9.1	150	30.94	36.3	11.75	0.0	0	0
2005-01-05	delhi	28.7041	77.1025	17.29	61.4	1008.28	5.28	40	13.25	30.4	9.78	0.0	0	0
2005-01-06	delhi	28.7041	77.1025	22.25	76.3	1015.9	9.59	63	15.46	25.0	17.88	0.0	0	0
2005-01-07	delhi	28.7041	77.1025	19.84	49.2	1013.19	8.44	241	15.98	0.0	8.87	0.0	0	0
2005-01-08	delhi	28.7041	77.1025	18.2	55.8	1010.58	9.77	143	6.37	11.9	9.22	0.0	0	0
2005-01-09	delhi	28.7041	77.1025	20.43	62.5	1010.68	10.41	272	23.61	7.6	13.01	0.0	0	0
2005-01-10	delhi	28.7041	77.1025	20.59	60.8	1005.93	10.91	228	22.41	21.0	12.75	0.0	0	0
2005-01-11	delhi	28.7041	77.1025	21.34	52.3	1016.76	8.76	92	15.47	62.5	11.15	0.0	0	0
2005-01-12	delhi	28.7041	77.1025	24.29	60.2	1018.89	7.78	14	20.78	24.9	16.07	0.0	0	0
2005-01-13	delhi	28.7041	77.1025	18.37	52.6	1011.31	15.01	229	13.55	18.6	8.51	0.0	0	0
2005-01-14	delhi	28.7041	77.1025	21.47	61.2	1016.69	2.7	168	14.87	52.1	13.68	0.0	0	0
2005-01-15	delhi	28.7041	77.1025	19.1	56.4	1006.39	8.54	74	11.96	20.2	10.23	0.0	0	0
2005-01-16	delhi	28.7041	77.1025	17.52	56.1	1015.59	10.16	332	13.96	36.1	8.66	0.0	0	0
2005-01-17	delhi	28.7041	77.1025	17.79	56.1	1009.97	8.16	304	12.24	33.9	8.91	0.38	1	0
2005-01-18	delhi	28.7041	77.1025	17.42	64.3	1017.48	4.77	337	18.08	34.5	10.6	0.0	0	0
2005-01-19	delhi	28.7041	77.1025	20.7	49.9	1014.31	8.57	303	14.26	10.9	9.87	0.0	0	0
2005-01-20	delhi	28.7041	77.1025	19.47	60.8	1014.3	5.38	70	18.45	15.1	11.69	0.0	0	0
2005-01-21	delhi	28.7041	77.1025	16.66	57.2	1009.76	8.77	31	10.25	31.0	8.16	0.0	0	0
2005-01-22	delhi	28.7041	77.1025	19.74	69.0	1016.79	3.11	282	9.37	40.8	13.89	0.0	0	0
2005-01-23	delhi	28.7041	77.1025	17.9	68.6	1012.31	7.69	266	4.13	9.7	12.03	0.0	0	0
2005-01-24	delhi	28.7041	77.1025	17.1	59.0	1017.39	13.5	28	20.61	20.7	9.02	0.0	0	0
2005-01-25	delhi	28.7041	77.1025	17.59	58.5	1012.47	9.98	140	14.88	33.1	9.35	0.0	0	0
2005-01-26	delhi	28.7041	77.1025	18.46	39.3	1007.86	11.98	105	14.74	40.1	4.34	0.0	0	0
