date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	machilipatnam	16.1875	81.1389	26.61	58.0	1022.71	9.16	228	11.55	0.0	17.66	0.0	0	0
2005-01-02	machilipatnam	16.1875	81.1389	20.89	47.4	1014.65	9.83	117	11.66	42.5	9.29	0.0	0	0
2005-01-03	machilipatnam	16.1875	81.1389	21.21	67.1	1017.19	6.28	236	18.06	4.6	14.84	0.0	0	0
2005-01-04	machilipatnam	16.1875	81.1389	22.69	68.2	1012.17	11.32	277	11.38	56.4	16.52	0.0	0	0
2005-01-05	machilipatnam	16.1875	81.1389	22.94	65.6	1019.89	9.08	247	21.86	20.0	16.13	0.0	0	0
2005-01-06	machilipatnam	16.1875	81.1389	22.43	57.7	1014.11	4.02	49	26.31	10.2	13.67	0.0	0	0
2005-01-07	machilipatnam	16.1875	81.1389	23.63	63.4	1017.1	11.14	333	18.27	33.4	16.26	0.0	0	0
2005-01-08	machilipatnam	16.1875	81.1389	25.85	63.2	1013.47	6.03	191	15.87	5.1	18.32	0.0	0	0
2005-01-09	machilipatnam	16.1875	81.1389	23.04	65.9	1018.45	9.26	266	12.3	40.7	16.31	0.0	0	0
2005-01-10	machilipatnam	16.1875	81.1389	22.21	53.4	1016.16	7.94	127	9.19	1.7	12.28	3.54	1	0
2005-01-11	machilipatnam	16.1875	81.1389	22.57	48.4	1012.47	10.16	51	16.49	37.3	11.12	0.0	0	0
2005-01-12	machilipatnam	16.1875	81.1389	21.26	56.5	1011.08	8.53	104	11.8	11.5	12.26	0.0	0	0
2005-01-13	machilipatnam	16.1875	81.1389	19.41	47.0	1016.59	7.11	156	14.81	9.8	7.81	0.0	0	0
2005-01-14	machilipatnam	16.1875	81.1389	25.11	56.6	1014.53	8.65	197	13.38	70.2	15.87	0.0	0	0
2005-01-15	machilipatnam	16.1875	81.1389	19.89	56.8	1012.03	10.02	114	21.59	39.2	11.05	0.0	0	0
