date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	mahabalipuram	12.6229	80.1958	22.71	82.7	1012.93	4.1	177	10.1	7.0	19.62	0.0	0	0
2005-01-02	mahabalipuram	12.6229	80.1958	22.41	69.0	1016.14	7.25	253	20.22	46.1	16.43	0.0	0	0
2005-01-03	mahabalipuram	12.6229	80.1958	24.8	86.9	1011.56	4.35	333	19.83	53.9	22.47	0.0	0	0
2005-01-04	mahabalipuram	12.6229	80.1958	22.84	82.5	1024.87	10.38	315	18.78	24.8	19.69	0.0	0	0
2005-01-05	mahabalipuram	12.6229	80.1958	18.2	73.1	1022.76	3.01	241	19.1	14.5	13.3	0.0	0	0
2005-01-06	mahabalipuram	12.6229	80.1958	19.43	65.1	1017.32	1.95	184	19.71	39.9	12.69	0.0	0	0
2005-01-07	mahabalipuram	12.6229	80.1958	22.94	59.9	1011.85	8.61	98	7.15	12.8	14.71	0.0	0	0
2005-01-08	mahabalipuram	12.6229	80.1958	21.56	66.1	1007.79	5.12	123	10.69	0.0	14.95	0.0	0	0
2005-01-09	mahabalipuram	12.6229	80.1958	25.02	74.6	1011.62	9.85	290	16.63	13.2	20.18	0.0	0	0
2005-01-10	mahabalipuram	12.6229	80.1958	20.6	71.7	1011.25	8.92	253	7.23	42.8	15.31	0.0	0	0
2005-01-11	mahabalipuram	12.6229	80.1958	22.72	69.0	1014.76	6.74	280	17.61	58.3	16.73	0.0	0	0
2005-01-12	mahabalipuram	12.6229	80.1958	19.16	81.8	1009.98	4.68	354	13.97	51.8	15.98	0.0	0	0
2005-01-13	mahabalipuram	12.6229	80.1958	23.44	77.1	1014.35	13.14	167	20.33	0.0	19.2	0.0	0	0
2005-01-14	mahabalipuram	12.6229	80.1958	19.98	88.4	1013.15	0.77	321	16.49	28.7	18.0	0.0	0	0
2005-01-15	mahabalipuram	12.6229	80.1958	22.71	79.8	1013.85	11.09	281	7.74	26.8	19.03	0.0	0	0
2005-01-16	mahabalipuram	12.6229	80.1958	21.25	80.5	1014.53	9.94	311	17.86	30.4	17.76	0.0	0	0
2005-01-17	mahabalipuram	12.6229	80.1958	24.31	75.7	1015.01	7.85	235	20.4	26.6	19.74	0.0	0	0
2005-01-18	mahabalipuram	12.6229	80.1958	17.02	53.7	1010.8	7.11	231	16.67	41.0	7.55	0.0	0	0
2005-01-19	mahabalipuram	12.6229	80.1958	23.46	69.5	1012.82	1.91	161	14.76	17.1	17.54	0.0	0	0
2005-01-20	mahabalipuram	12.6229	80.1958	21.75	70.9	1018.71	11.22	129	17.44	37.7	16.23	0.0	0	0
2005-01-21	mahabalipuram	12.6229	80.1958	19.9	58.8	1011.62	10.58	253	10.09	51.9	11.6	0.0	0	0
2005-01-22	mahabalipuram	12.6229	80.1958	19.82	78.3	1010.09	6.14	164	13.7	25.8	15.93	0.0	0	0
2005-01-23	mahabalipuram	12.6229	80.1958	20.61	75.7	1013.67	8.75	210	20.75	25.6	16.15	0.0	0	0
2005-01-24	mahabalipuram	12.6229	80.1958	15.94	66.1	1008.3	5.12	161	16.23	59.5	9.61	0.0	0	0
2005-01-25	mahabalipuram	12.6229	80.1958	23.41	55.2	1014.76	6.19	27	18.72	51.3	13.91	0.0	0	0
2005-01-26	mahabalipuram	12.6229	80.1958	19.76	73.4	1009.68	5.65	115	8.25	7.1	14.86	0.0	0	0
2005-01-27	mahabalipuram	12.6229	80.1958	19.68	62.5	1014.82	6.49	70	16.91	8.1	12.32	0.0	0	0
2005-01-28	mahabalipuram	12.6229	80.1958	20.03	74.9	1015.35	3.68	224	17.73	26.7	15.45	0.0	0	0
2005-01-29	mahabalipuram	12.6229	80.1958	18.09	75.0	1014.96	9.11	45	18.58	28.5	13.59	0.0	0	0
2005-01-30	mahabalipuram	12.6229	80.1958	18.88	68.4	1015.63	5.18	239	17.55	55.7	12.93	0.0	0	0
2005-01-31	mahabalipuram	12.6229	80.1958	20.96	75.6	1014.79	7.99	200	19.19	52.7	16.48	0.0	0	0
2005-02-01	mahabalipuram	12.6229	80.1958	17.22	77.5	1014.25	6.48	167	12.55	47.5	13.25	0.0	0	0
2005-02-02	mahabalipuram	12.6229	80.1958	14.73	71.9	1013.7	12.43	11	17.24	65.2	9.72	0.0	0	0
2005-02-03	mahabalipuram	12.6229	80.1958	18.93	84.8	1011.28	12.32	197	8.3	10.7	16.31	0.0	0	0
2005-02-04	mahabalipuram	12.6229	80.1958	20.26	69.7	1018.94	8.59	289	14.91	15.4	14.54	0.0	0	0
