date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	ahmedabad	23.0225	72.5714	23.12	62.3	1006.98	5.54	335	14.37	37.9	15.5	0.0	0	0
2005-01-02	ahmedabad	23.0225	72.5714	21.08	65.7	1015.43	9.8	340	19.91	27.5	14.4	0.0	0	0
2005-01-03	ahmedabad	23.0225	72.5714	25.61	62.4	1013.95	6.23	196	14.68	69.6	17.87	0.0	0	0
2005-01-04	ahmedabad	23.0225	72.5714	20.77	65.0	1015.95	5.81	205	7.27	65.8	13.94	0.45	1	0
2005-01-05	ahmedabad	23.0225	72.5714	21.67	54.9	1016.7	11.32	22	15.08	15.2	12.2	0.0	0	0
2005-01-06	ahmedabad	23.0225	72.5714	23.33	79.5	1011.38	7.47	270	12.95	32.3	19.57	0.0	0	0
2005-01-07	ahmedabad	23.0225	72.5714	23.61	63.2	1009.8	12.87	91	12.08	34.0	16.2	0.0	0	0
2005-01-08	ahmedabad	23.0225	72.5714	23.58	59.3	1024.19	13.57	238	8.35	7.0	15.16	0.0	0	0
2005-01-09	ahmedabad	23.0225	72.5714	20.56	53.5	1004.72	12.09	318	20.52	70.3	10.78	3.41	1	0
2005-01-10	ahmedabad	23.0225	72.5714	24.08	57.0	1013.37	5.94	84	15.12	12.6	15.02	0.0	0	0
2005-01-11	ahmedabad	23.0225	72.5714	20.25	57.8	1012.89	12.15	240	11.35	44.3	11.66	0.0	0	0
2005-01-12	ahmedabad	23.0225	72.5714	19.09	64.0	1012.99	3.4	214	12.29	43.8	12.11	0.0	0	0
2005-01-13	ahmedabad	23.0225	72.5714	20.47	56.4	1016.66	9.25	200	12.68	26.9	11.5	0.0	0	0
2005-01-14	ahmedabad	23.0225	72.5714	19.35	63.1	1018.89	8.19	332	23.3	9.4	12.15	0.0	0	0
2005-01-15	ahmedabad	23.0225	72.5714	20.69	63.8	1015.58	8.5	342	11.52	26.1	13.57	0.0	0	0
2005-01-16	ahmedabad	23.0225	72.5714	21.25	69.5	1012.06	7.93	120	14.02	31.6	15.44	0.0	0	0
2005-01-17	ahmedabad	23.0225	72.5714	17.81	43.9	1011.56	11.76	60	10.06	17.3	5.35	0.0	0	0
2005-01-18	ahmedabad	23.0225	72.5714	21.09	70.7	1012.64	0.45	239	14.43	10.2	15.55	0.0	0	0
2005-01-19	ahmedabad	23.0225	72.5714	20.21	63.3	1014.47	10.77	277	19.7	64.4	13.01	0.0	0	0
2005-01-20	ahmedabad	23.0225	72.5714	19.03	77.9	1013.33	5.54	212	10.94	43.5	15.08	0.0	0	0
2005-01-21	ahmedabad	23.0225	72.5714	18.87	58.2	1015.34	8.31	337	14.73	10.5	10.47	0.0	0	0
2005-01-22	ahmedabad	23.0225	72.5714	17.78	60.4	1016.18	6.57	283	22.98	0.0	10.01	0.0	0	0
2005-01-23	ahmedabad	23.0225	72.5714	18.45	69.6	1016.68	13.8	166	16.05	80.1	12.77	0.0	0	0
2005-01-24	ahmedabad	23.0225	72.5714	20.36	68.8	1016.34	6.18	168	14.64	29.3	14.43	0.0	0	0
2005-01-25	ahmedabad	23.0225	72.5714	18.58	57.1	1017.82	7.38	65	22.01	5.3	9.92	0.0	0	0
2005-01-26	ahmedabad	23.0225	72.5714	19.97	63.8	1013.47	4.51	230	14.54	41.1	12.91	0.0	0	0
2005-01-27	ahmedabad	23.0225	72.5714	19.66	56.6	1013.39	7.11	266	21.4	33.0	10.81	0.0	0	0
2005-01-28	ahmedabad	23.0225	72.5714	20.82	54.8	1011.68	8.81	189	15.97	61.3	11.38	5.92	1	0
2005-01-29	ahmedabad	23.0225	72.5714	17.55	55.6	1010.57	0.0	131	14.55	10.1	8.55	2.86	1	0
2005-01-30	ahmedabad	23.0225	72.5714	14.54	48.6	1011.11	8.63	316	9.5	23.9	3.83	0.0	0	0
2005-01-31	ahmedabad	23.0225	72.5714	20.13	58.9	1012.54	5.41	347	11.8	35.5	11.84	0.0	0	0
2005-02-01	ahmedabad	23.0225	72.5714	16.97	59.7	1011.6	7.67	138	25.0	47.6	9.06	0.0	0	0
2005-02-02	ahmedabad	23.0225	72.5714	19.78	57.7	1008.08	6.29	96	13.75	29.2	11.19	0.0	0	0
2005-02-03	ahmedabad	23.0225	72.5714	19.79	48.9	1008.8	9.11	5	14.75	31.1	8.73	0.0	0	0
2005-02-04	ahmedabad	23.0225	72.5714	16.72	59.6	1017.12	5.09	178	16.76	0.0	8.8	0.0	0	0
2005-02-05	ahmedabad	23.0225	72.5714	20.78	64.1	1010.35	13.25	161	13.97	3.1	13.75	0.0	0	0
2005-02-06	ahmedabad	23.0225	72.5714	19.88	43.3	1010.57	13.0	140	18.13	63.3	7.02	0.0	0	0
2005-02-07	ahmedabad	23.0225	72.5714	16.33	54.3	1015.54	5.0	143	13.92	35.6	7.08	0.0	0	0
2005-02-08	ahmedabad	23.0225	72.5714	19.7	50.9	1005.58	7.78	238	11.46	11.4	9.26	0.2	1	0
2005-02-09	ahmedabad	23.0225	72.5714	21.71	55.1	1015.75	8.09	266	19.36	38.1	12.29	0.0	0	0
2005-02-10	ahmedabad	23.0225	72.5714	13.56	51.6	1012.65	7.75	52	13.81	38.1	3.77	0.0	0	0
2005-02-11	ahmedabad	23.0225	72.5714	18.65	59.4	1012.58	7.51	355	13.04	38.4	10.58	0.0	0	0
2005-02-12	ahmedabad	23.0225	72.5714	13.08	61.2	1018.22	9.01	356	7.29	0.0	5.79	0.0	0	0
2005-02-13	ahmedabad	23.0225	72.5714	14.26	54.7	1009.79	5.48	230	10.59	28.8	5.27	0.0	0	0
2005-02-14	ahmedabad	23.0225	72.5714	17.18	51.6	1013.77	4.61	255	18.3	24.8	7.12	0.0	0	0
2005-02-15	ahmedabad	23.0225	72.5714	18.69	57.9	1014.54	7.39	300	17.72	26.7	10.23	0.0	0	0
2005-02-16	ahmedabad	23.0225	72.5714	17.95	53.7	1016.32	10.13	212	8.98	11.0	8.42	0.0	0	0
2005-02-17	ahmedabad	23.0225	72.5714	13.76	59.0	1013.27	10.5	321	16.96	0.4	5.88	0.0	0	0
2005-02-18	ahmedabad	23.0225	72.5714	14.57	57.4	1014.72	6.67	78	12.26	28.1	6.26	4.54	1	0
2005-02-19	ahmedabad	23.0225	72.5714	14.89	58.3	1011.19	4.93	185	24.12	7.6	6.79	0.0	0	0
2005-02-20	ahmedabad	23.0225	72.5714	15.95	52.1	1009.76	7.27	344	17.32	33.7	6.13	0.92	1	0
2005-02-21	ahmedabad	23.0225	72.5714	12.85	59.0	1010.73	8.74	221	15.25	39.8	5.03	0.0	0	0
2005-02-22	ahmedabad	23.0225	72.5714	16.42	59.9	1005.79	10.69	294	8.29	18.1	8.6	0.0	0	0
2005-02-23	ahmedabad	23.0225	72.5714	14.71	48.8	1010.98	8.84	131	15.37	42.4	4.03	0.0	0	0
2005-02-24	ahmedabad	23.0225	72.5714	16.65	63.8	1011.51	14.06	244	13.62	47.2	9.75	0.0	0	0
2005-02-25	ahmedabad	23.0225	72.5714	18.0	66.6	1015.16	9.51	77	19.63	34.4	11.69	0.0	0	0
2005-02-26	ahmedabad	23.0225	72.5714	19.47	59.0	1010.5	8.22	150	16.44	35.0	11.24	0.0	0	0
2005-02-27	ahmedabad	23.0225	72.5714	12.56	61.6	1012.03	10.21	271	16.91	26.0	5.37	4.57	1	0
2005-02-28	ahmedabad	23.0225	72.5714	14.69	48.3	1011.98	7.97	185	22.94	28.1	3.87	0.0	0	0
2005-03-01	ahmedabad	23.0225	72.5714	11.74	48.0	1011.51	6.28	281	24.56	47.7	1.09	2.1	1	0
