date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	jaisalmer	26.9157	70.9083	22.8	61.7	1018.78	10.35	250	20.44	23.8	15.05	2.15	1	0
2005-01-02	jaisalmer	26.9157	70.9083	19.66	52.3	1018.03	4.12	287	17.19	76.9	9.61	10.78	2	0
2005-01-03	jaisalmer	26.9157	70.9083	21.24	59.5	1016.56	12.71	297	13.83	20.4	13.02	0.0	0	0
2005-01-04	jaisalmer	26.9157	70.9083	19.01	60.5	1004.67	2.4	11	14.09	24.7	11.2	0.0	0	0
2005-01-05	jaisalmer	26.9157	70.9083	22.09	58.4	1011.87	9.28	210	14.22	28.0	13.54	0.0	0	0
2005-01-06	jaisalmer	26.9157	70.9083	22.54	77.2	1009.0	6.15	22	11.4	39.7	18.33	0.0	0	0
2005-01-07	jaisalmer	26.9157	70.9083	20.2	55.6	1011.98	14.41	188	16.27	30.9	11.02	0.0	0	0
2005-01-08	jaisalmer	26.9157	70.9083	19.39	53.1	1010.4	6.89	128	12.8	50.9	9.57	0.0	0	0
2005-01-09	jaisalmer	26.9157	70.9083	22.9	67.2	1014.75	9.85	283	15.05	20.3	16.48	3.32	1	0
2005-01-10	jaisalmer	26.9157	70.9083	24.39	55.2	1013.41	10.98	19	14.96	60.4	14.8	18.56	2	0
2005-01-11	jaisalmer	26.9157	70.9083	18.01	58.3	1017.51	13.19	83	14.25	22.6	9.7	0.0	0	0
2005-01-12	jaisalmer	26.9157	70.9083	18.81	59.2	1016.86	4.67	341	18.46	21.0	10.66	0.0	0	0
2005-01-13	jaisalmer	26.9157	70.9083	17.14	62.5	1007.36	9.68	329	11.33	7.8	9.93	0.0	0	0
2005-01-14	jaisalmer	26.9157	70.9083	16.88	49.4	992.68	12.14	272	14.21	96.4	6.21	245.22	6	1
2005-01-15	jaisalmer	26.9157	70.9083	17.84	61.6	1014.74	6.37	337	21.08	27.9	10.36	1.46	1	0
2005-01-16	jaisalmer	26.9157	70.9083	19.67	58.9	1020.94	10.08	196	18.88	41.1	11.41	0.0	0	0
2005-01-17	jaisalmer	26.9157	70.9083	19.91	56.0	1012.6	8.46	52	15.51	31.2	10.86	0.0	0	0
