date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	bangalore	12.9716	77.5946	23.51	65.6	1012.49	6.25	211	15.67	62.5	16.68	0.0	0	0
2005-01-02	bangalore	12.9716	77.5946	24.61	74.0	1019.88	9.54	87	13.41	13.6	19.66	0.0	0	0
2005-01-03	bangalore	12.9716	77.5946	24.12	65.4	1018.06	9.59	261	12.68	32.1	17.22	0.0	0	0
2005-01-04	bangalore	12.9716	77.5946	24.19	57.5	1009.39	8.65	347	13.53	0.0	15.26	0.0	0	0
2005-01-05	bangalore	12.9716	77.5946	20.34	71.9	1017.11	11.18	320	11.09	5.6	15.09	0.0	0	0
2005-01-06	bangalore	12.9716	77.5946	22.17	54.5	1013.48	4.69	249	9.14	34.3	12.56	0.0	0	0
2005-01-07	bangalore	12.9716	77.5946	27.24	46.0	1006.26	8.6	247	14.32	39.4	14.59	0.0	0	0
2005-01-08	bangalore	12.9716	77.5946	19.66	62.9	1011.33	10.22	167	15.34	54.4	12.39	0.0	0	0
2005-01-09	bangalore	12.9716	77.5946	24.76	73.2	1018.39	7.74	350	13.52	45.0	19.63	0.0	0	0
2005-01-10	bangalore	12.9716	77.5946	22.59	60.6	1008.38	4.81	83	5.98	19.3	14.59	1.04	1	0
2005-01-11	bangalore	12.9716	77.5946	19.96	40.5	1013.4	6.43	311	17.57	17.8	6.11	4.03	1	0
2005-01-12	bangalore	12.9716	77.5946	22.67	61.8	1008.2	7.64	341	10.09	0.0	14.95	0.0	0	0
2005-01-13	bangalore	12.9716	77.5946	19.0	54.9	1013.68	11.2	203	18.37	18.7	9.72	0.0	0	0
2005-01-14	bangalore	12.9716	77.5946	20.63	61.1	1013.45	5.97	50	11.81	30.2	12.86	0.0	0	0
2005-01-15	bangalore	12.9716	77.5946	20.99	58.4	1009.93	13.01	21	15.43	15.3	12.51	0.0	0	0
2005-01-16	bangalore	12.9716	77.5946	19.04	55.6	1012.89	12.59	100	13.45	11.2	9.96	0.0	0	0
2005-01-17	bangalore	12.9716	77.5946	21.09	60.1	1012.1	6.99	302	13.2	30.2	13.05	0.0	0	0
2005-01-18	bangalore	12.9716	77.5946	23.75	54.3	1004.84	6.13	100	8.55	28.8	13.97	0.0	0	0
2005-01-19	bangalore	12.9716	77.5946	22.61	57.8	1009.68	7.03	290	22.83	11.1	13.85	0.0	0	0
2005-01-20	bangalore	12.9716	77.5946	23.33	58.1	1019.24	9.78	230	10.33	18.9	14.63	0.0	0	0
2005-01-21	bangalore	12.9716	77.5946	23.12	62.2	1019.32	11.76	353	13.87	15.7	15.48	0.0	0	0
2005-01-22	bangalore	12.9716	77.5946	21.03	57.1	1011.07	11.45	300	13.0	33.0	12.21	0.0	0	0
