date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	chennai	13.0827	80.2707	24.14	71.7	1012.31	7.3	149	15.4	45.3	18.7	0.0	0	0
2005-01-02	chennai	13.0827	80.2707	22.67	72.8	1011.54	8.67	54	16.78	29.5	17.53	0.0	0	0
2005-01-03	chennai	13.0827	80.2707	23.66	79.1	1013.63	9.99	339	18.9	29.3	19.83	0.0	0	0
2005-01-04	chennai	13.0827	80.2707	20.47	81.3	1014.74	9.7	53	15.98	3.4	17.16	0.0	0	0
2005-01-05	chennai	13.0827	80.2707	23.99	73.5	1007.32	5.84	251	7.45	51.1	18.96	0.17	1	0
2005-01-06	chennai	13.0827	80.2707	23.81	65.2	1011.02	10.79	260	17.95	34.2	16.87	1.81	1	0
2005-01-07	chennai	13.0827	80.2707	20.41	70.9	1017.05	13.18	226	16.81	0.0	14.95	0.0	0	0
2005-01-08	chennai	13.0827	80.2707	20.76	74.5	1019.4	0.14	41	13.6	2.4	16.06	0.0	0	0
2005-01-09	chennai	13.0827	80.2707	21.78	79.1	1014.44	4.92	12	13.94	33.8	18.0	0.0	0	0
2005-01-10	chennai	13.0827	80.2707	20.89	75.3	1017.88	12.12	347	13.72	44.5	16.35	0.0	0	0
2005-01-11	chennai	13.0827	80.2707	23.3	60.6	1007.88	16.83	151	14.17	48.3	15.25	1.31	1	0
2005-01-12	chennai	13.0827	80.2707	22.26	86.0	1013.95	2.24	112	16.72	28.7	19.8	0.0	0	0
2005-01-13	chennai	13.0827	80.2707	21.14	68.8	1003.25	12.44	202	8.39	54.6	15.19	0.0	0	0
2005-01-14	chennai	13.0827	80.2707	19.81	69.5	1018.86	9.54	200	12.17	10.2	14.07	0.0	0	0
2005-01-15	chennai	13.0827	80.2707	21.2	66.4	1007.05	8.21	127	21.24	39.5	14.69	0.0	0	0
2005-01-16	chennai	13.0827	80.2707	20.99	79.6	1016.74	4.92	143	21.54	34.5	17.33	0.0	0	0
2005-01-17	chennai	13.0827	80.2707	17.5	71.6	1014.19	9.57	151	13.43	88.4	12.3	21.87	2	0
2005-01-18	chennai	13.0827	80.2707	21.88	78.7	1009.31	4.72	168	8.35	13.9	18.01	0.0	0	0
2005-01-19	chennai	13.0827	80.2707	20.38	80.5	1010.31	9.9	21	13.8	47.6	16.9	0.0	0	0
2005-01-20	chennai	13.0827	80.2707	22.71	73.9	1007.62	7.9	34	14.94	49.5	17.8	0.0	0	0
2005-01-21	chennai	13.0827	80.2707	20.53	74.3	1011.85	9.82	94	7.43	13.1	15.78	0.0	0	0
2005-01-22	chennai	13.0827	80.2707	19.12	76.1	1013.94	9.16	287	9.26	33.1	14.8	0.0	0	0
2005-01-23	chennai	13.0827	80.2707	22.65	62.2	1009.14	9.26	38	11.98	48.1	15.05	0.0	0	0
2005-01-24	chennai	13.0827	80.2707	20.35	70.9	1019.0	8.02	141	13.42	49.8	14.9	0.0	0	0
2005-01-25	chennai	13.0827	80.2707	21.13	62.5	1012.3	14.94	124	15.7	33.0	13.68	0.0	0	0
2005-01-26	chennai	13.0827	80.2707	20.19	53.5	1018.09	7.55	354	21.82	4.2	10.43	0.0	0	0
2005-01-27	chennai	13.0827	80.2707	21.0	68.5	1015.02	6.67	345	19.33	40.1	14.98	0.0	0	0
2005-01-28	chennai	13.0827	80.2707	16.82	65.5	1020.31	9.21	271	25.67	48.4	10.32	0.0	0	0
2005-01-29	chennai	13.0827	80.2707	19.55	81.3	1011.34	5.96	46	24.35	25.3	16.25	0.62	1	0
2005-01-30	chennai	13.0827	80.2707	18.93	60.4	1005.27	4.1	289	15.01	56.5	11.09	0.0	0	0
2005-01-31	chennai	13.0827	80.2707	20.36	83.2	1014.91	11.52	177	16.02	9.3	17.4	0.0	0	0
2005-02-01	chennai	13.0827	80.2707	19.69	71.3	1008.67	9.77	301	12.57	16.0	14.33	0.0	0	0
2005-02-02	chennai	13.0827	80.2707	19.02	74.4	1011.27	10.86	216	19.36	17.4	14.37	1.19	1	0
2005-02-03	chennai	13.0827	80.2707	19.59	61.5	1006.1	4.34	189	7.33	53.2	11.99	0.0	0	0
2005-02-04	chennai	13.0827	80.2707	19.1	76.2	1016.68	7.02	216	13.45	43.6	14.8	0.0	0	0
2005-02-05	chennai	13.0827	80.2707	18.91	65.8	1009.98	14.28	52	18.12	5.7	12.37	0.0	0	0
2005-02-06	chennai	13.0827	80.2707	19.4	66.6	1009.45	5.52	75	17.44	47.8	13.02	2.1	1	0
2005-02-07	chennai	13.0827	80.2707	18.15	67.0	1016.79	7.3	338	20.3	6.5	11.92	0.0	0	0
2005-02-08	chennai	13.0827	80.2707	18.4	63.8	1015.08	11.98	274	22.38	36.2	11.43	0.0	0	0
2005-02-09	chennai	13.0827	80.2707	19.54	64.9	1014.54	5.52	189	12.25	60.7	12.76	0.04	1	0
2005-02-10	chennai	13.0827	80.2707	12.8	66.5	1009.87	8.14	302	19.92	31.4	6.72	0.0	0	0
2005-02-11	chennai	13.0827	80.2707	18.57	66.3	1011.52	13.58	143	16.83	66.3	12.17	0.0	0	0
2005-02-12	chennai	13.0827	80.2707	17.94	58.7	1012.31	4.37	315	15.75	14.8	9.74	0.0	0	0
2005-02-13	chennai	13.0827	80.2707	18.11	80.6	1009.66	9.48	311	15.71	66.6	14.72	0.0	0	0
2005-02-14	chennai	13.0827	80.2707	19.4	63.0	1008.57	6.15	314	16.39	35.5	12.16	0.0	0	0
2005-02-15	chennai	13.0827	80.2707	12.33	58.1	1014.29	8.91	164	11.78	36.2	4.32	0.0	0	0
2005-02-16	chennai	13.0827	80.2707	19.86	59.2	1010.65	9.0	287	12.87	30.0	11.66	0.0	0	0
2005-02-17	chennai	13.0827	80.2707	19.61	64.3	1014.9	12.03	228	22.45	16.9	12.67	0.0	0	0
2005-02-18	chennai	13.0827	80.2707	18.73	61.4	1011.56	10.66	307	24.74	0.0	11.14	3.21	1	0
2005-02-19	chennai	13.0827	80.2707	16.37	69.0	1012.47	12.26	339	16.92	41.7	10.66	0.0	0	0
2005-02-20	chennai	13.0827	80.2707	16.75	48.0	1012.89	9.1	359	23.37	15.0	5.68	0.0	0	0
2005-02-21	chennai	13.0827	80.2707	16.82	73.0	1015.71	6.41	21	7.83	4.0	11.95	0.0	0	0
2005-02-22	chennai	13.0827	80.2707	16.28	64.7	1004.12	9.54	238	15.21	5.5	9.62	0.0	0	0
2005-02-23	chennai	13.0827	80.2707	16.94	64.4	1016.32	5.66	153	17.88	35.0	10.18	0.0	0	0
2005-02-24	chennai	13.0827	80.2707	17.14	88.6	1017.45	5.73	201	16.06	53.8	15.24	2.74	1	0
2005-02-25	chennai	13.0827	80.2707	16.6	56.8	1004.54	6.83	227	26.87	73.5	8.0	0.0	0	0
2005-02-26	chennai	13.0827	80.2707	18.41	60.2	1019.58	12.19	225	6.81	29.8	10.55	0.0	0	0
2005-02-27	chennai	13.0827	80.2707	17.31	62.0	1016.28	8.44	61	15.46	28.5	9.96	1.64	1	0
2005-02-28	chennai	13.0827	80.2707	17.76	50.1	1015.42	5.71	224	23.54	34.3	7.22	0.0	0	0
2005-03-01	chennai	13.0827	80.2707	18.18	69.4	1005.36	11.73	137	11.8	31.1	12.49	9.68	2	0
2005-03-02	chennai	13.0827	80.2707	17.67	72.0	1016.34	2.69	304	18.22	39.0	12.56	0.0	0	0
2005-03-03	chennai	13.0827	80.2707	17.46	61.9	1015.92	7.43	228	12.56	39.9	10.08	0.0	0	0
2005-03-04	chennai	13.0827	80.2707	15.18	66.1	1011.57	10.61	88	24.54	20.0	8.89	0.0	0	0
2005-03-05	chennai	13.0827	80.2707	17.1	65.2	1021.24	3.26	308	16.18	0.0	10.51	0.0	0	0
2005-03-06	chennai	13.0827	80.2707	17.49	50.9	1017.83	9.9	230	20.05	46.6	7.2	0.0	0	0
2005-03-07	chennai	13.0827	80.2707	14.92	65.7	1019.82	7.88	302	21.43	11.1	8.55	0.0	0	0
2005-03-08	chennai	13.0827	80.2707	14.98	59.1	1011.04	12.16	291	22.84	44.4	7.05	0.0	0	0
2005-03-09	chennai	13.0827	80.2707	13.48	56.9	1016.3	8.64	170	15.55	11.3	5.11	0.0	0	0
2005-03-10	chennai	13.0827	80.2707	17.25	66.1	1014.15	13.65	50	15.5	33.7	10.86	0.0	0	0
2005-03-11	chennai	13.0827	80.2707	15.59	68.4	1007.18	17.72	116	14.6	71.7	9.79	81.67	4	0
2005-03-12	chennai	13.0827	80.2707	17.84	60.1	1016.61	7.88	250	13.77	31.7	9.98	0.0	0	0
2005-03-13	chennai	13.0827	80.2707	15.17	40.4	1013.03	13.55	155	7.58	31.6	1.78	0.0	0	0
2005-03-14	chennai	13.0827	80.2707	15.62	65.3	1007.89	8.45	214	21.75	7.6	9.12	0.0	0	0
2005-03-15	chennai	13.0827	80.2707	15.01	58.2	1004.75	8.91	256	22.52	24.9	6.85	0.0	0	0
2005-03-16	chennai	13.0827	80.2707	10.35	70.4	1011.88	6.89	161	13.19	14.4	5.2	0.0	0	0
2005-03-17	chennai	13.0827	80.2707	15.5	65.4	1010.16	5.89	254	17.45	19.5	9.04	0.0	0	0
2005-03-18	chennai	13.0827	80.2707	13.18	67.2	1011.34	11.48	222	11.89	42.3	7.22	4.61	1	0
2005-03-19	chennai	13.0827	80.2707	15.1	72.3	1016.33	8.99	81	10.92	5.2	10.15	0.0	0	0
2005-03-20	chennai	13.0827	80.2707	18.24	47.3	1018.24	1.49	341	13.22	19.1	6.82	0.0	0	0
