date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	hyderabad	17.385	78.4867	21.49	63.1	1008.28	7.48	47	15.67	37.7	14.16	3.7	1	0
2005-01-02	hyderabad	17.385	78.4867	25.57	58.7	1006.7	8.27	143	20.62	50.5	16.87	0.0	0	0
2005-01-03	hyderabad	17.385	78.4867	25.26	57.4	1005.92	6.5	189	26.5	9.3	16.23	0.0	0	0
2005-01-04	hyderabad	17.385	78.4867	22.8	60.9	1008.01	7.25	176	24.27	48.7	14.86	0.0	0	0
2005-01-05	hyderabad	17.385	78.4867	20.44	60.8	1010.32	8.17	115	10.81	72.7	12.61	0.0	0	0
2005-01-06	hyderabad	17.385	78.4867	22.62	53.7	1013.52	14.1	279	21.16	35.7	12.74	0.0	0	0
2005-01-07	hyderabad	17.385	78.4867	22.13	74.5	1018.54	8.35	48	21.6	48.6	17.38	0.0	0	0
2005-01-08	hyderabad	17.385	78.4867	21.77	48.1	1023.42	4.3	262	15.83	8.2	10.31	0.0	0	0
2005-01-09	hyderabad	17.385	78.4867	22.85	62.0	1019.77	6.12	146	25.56	40.7	15.18	0.0	0	0
2005-01-10	hyderabad	17.385	78.4867	22.19	46.7	1012.36	8.66	257	13.4	21.5	10.23	0.0	0	0
2005-01-11	hyderabad	17.385	78.4867	22.28	54.0	1012.57	9.86	324	19.65	28.9	12.53	0.0	0	0
2005-01-12	hyderabad	17.385	78.4867	21.61	46.0	1014.3	10.06	99	11.95	34.6	9.48	0.0	0	0
2005-01-13	hyderabad	17.385	78.4867	21.06	60.0	1007.03	8.44	50	14.39	67.1	13.0	0.92	1	0
2005-01-14	hyderabad	17.385	78.4867	16.85	61.5	1011.35	5.86	91	13.86	26.9	9.4	4.2	1	0
2005-01-15	hyderabad	17.385	78.4867	23.1	60.4	1009.97	8.53	63	21.45	51.2	15.01	0.0	0	0
2005-01-16	hyderabad	17.385	78.4867	21.63	57.5	1015.35	4.46	313	17.78	59.8	12.86	0.0	0	0
2005-01-17	hyderabad	17.385	78.4867	21.5	71.7	1016.02	2.25	113	11.27	47.8	16.17	0.0	0	0
2005-01-18	hyderabad	17.385	78.4867	21.7	64.9	1011.8	5.62	234	12.21	8.7	14.8	0.0	0	0
2005-01-19	hyderabad	17.385	78.4867	19.16	62.9	1014.57	8.86	353	17.75	48.6	11.91	0.0	0	0
2005-01-20	hyderabad	17.385	78.4867	21.06	62.3	1006.38	0.0	63	5.62	1.3	13.56	0.0	0	0
2005-01-21	hyderabad	17.385	78.4867	18.8	67.9	1010.87	5.33	226	18.34	22.2	12.74	0.0	0	0
