date	region	latitude	longitude	temperature	humidity	pressure	wind_speed	wind_deg	visibility	cloud_cover	dew_point	rainfall	imd_alert	flood_binary
2005-01-01	rameswaram	9.2882	79.3127	21.11	70.5	1010.43	6.31	85	20.56	0.0	15.53	0.0	0	0
2005-01-02	rameswaram	9.2882	79.3127	21.07	70.2	1015.31	11.42	23	19.68	0.0	15.42	0.0	0	0
2005-01-03	rameswaram	9.2882	79.3127	21.56	63.6	1006.81	10.1	98	16.34	32.1	14.36	0.0	0	0
2005-01-04	rameswaram	9.2882	79.3127	22.09	62.6	1013.63	8.98	52	18.51	46.9	14.62	0.0	0	0
2005-01-05	rameswaram	9.2882	79.3127	22.64	74.3	1012.51	5.51	101	5.21	44.9	17.83	0.0	0	0
2005-01-06	rameswaram	9.2882	79.3127	24.0	76.7	1022.73	6.9	309	23.68	64.5	19.65	0.0	0	0
2005-01-07	rameswaram	9.2882	79.3127	22.43	77.1	1013.22	7.86	285	13.04	24.4	18.2	0.0	0	0
2005-01-08	rameswaram	9.2882	79.3127	22.11	80.6	1018.65	7.54	36	19.62	63.0	18.61	0.0	0	0
2005-01-09	rameswaram	9.2882	79.3127	25.7	80.0	1019.54	7.79	249	19.51	25.0	21.98	0.0	0	0
2005-01-10	rameswaram	9.2882	79.3127	22.87	76.7	1008.0	10.72	227	11.66	65.5	18.55	28.87	2	0
2005-01-11	rameswaram	9.2882	79.3127	20.38	82.9	1012.4	5.99	198	14.45	25.4	17.36	0.0	0	0
2005-01-12	rameswaram	9.2882	79.3127	22.02	73.7	1014.61	9.78	63	4.01	64.7	17.11	0.0	0	0
2005-01-13	rameswaram	9.2882	79.3127	20.39	72.4	1015.39	6.26	351	18.19	52.4	15.26	0.77	1	0
2005-01-14	rameswaram	9.2882	79.3127	21.83	73.0	1018.63	9.43	134	12.77	47.5	16.76	0.0	0	0
2005-01-15	rameswaram	9.2882	79.3127	19.84	69.2	1016.18	4.66	230	15.51	30.6	14.03	0.0	0	0
2005-01-16	rameswaram	9.2882	79.3127	21.3	66.9	1015.18	4.06	129	12.65	40.9	14.88	5.04	1	0
2005-01-17	rameswaram	9.2882	79.3127	24.88	71.9	1019.63	10.54	199	8.76	33.6	19.44	0.0	0	0
2005-01-18	rameswaram	9.2882	79.3127	19.17	70.1	1021.37	8.15	179	23.54	0.0	13.58	0.0	0	0
2005-01-19	rameswaram	9.2882	79.3127	20.19	74.9	1010.38	8.17	312	19.11	21.6	15.6	0.0	0	0
2005-01-20	rameswaram	9.2882	79.3127	19.07	68.0	1009.21	8.03	213	14.02	0.0	13.03	0.0	0	0
2005-01-21	rameswaram	9.2882	79.3127	21.49	81.4	1021.98	6.66	302	20.05	0.0	18.17	0.0	0	0
2005-01-22	rameswaram	9.2882	79.3127	20.28	56.4	1009.18	6.52	95	8.8	5.9	11.31	4.12	1	0
2005-01-23	rameswaram	9.2882	79.3127	19.98	83.8	1010.89	5.73	83	21.53	36.5	17.15	1.66	1	0
2005-01-24	rameswaram	9.2882	79.3127	21.37	70.6	1016.44	6.66	210	17.35	14.4	15.79	0.0	0	0
2005-01-25	rameswaram	9.2882	79.3127	21.78	51.3	1011.64	6.25	346	15.54	68.1	11.27	0.0	0	0
2005-01-26	rameswaram	9.2882	79.3127	22.8	67.2	1007.12	14.8	205	19.07	27.3	16.39	0.0	0	0
2005-01-27	rameswaram	9.2882	79.3127	19.62	71.4	1015.11	10.46	145	18.33	25.5	14.3	0.0	0	0
2005-01-28	rameswaram	9.2882	79.3127	20.83	58.5	1011.72	16.16	93	15.01	2.1	12.39	0.0	0	0
2005-01-29	rameswaram	9.2882	79.3127	14.69	76.3	1007.33	9.4	185	12.19	50.2	10.56	0.0	0	0
2005-01-30	rameswaram	9.2882	79.3127	21.19	70.4	1008.71	8.24	198	22.85	11.8	15.59	0.0	0	0
2005-01-31	rameswaram	9.2882	79.3127	16.1	66.4	1012.93	2.8	127	18.15	91.9	9.84	0.0	0	0
2005-02-01	rameswaram	9.2882	79.3127	15.76	58.6	1010.59	8.25	344	5.67	54.2	7.65	0.0	0	0
2005-02-02	rameswaram	9.2882	79.3127	19.7	79.0	1016.14	7.3	33	6.25	19.9	15.95	0.0	0	0
2005-02-03	rameswaram	9.2882	79.3127	16.45	81.2	1013.11	8.06	191	13.17	12.3	13.21	1.05	1	0
2005-02-04	rameswaram	9.2882	79.3127	16.5	60.9	1015.73	8.52	287	17.83	14.5	8.93	0.0	0	0
2005-02-05	rameswaram	9.2882	79.3127	18.84	60.9	1020.64	6.22	243	13.33	18.2	11.12	0.0	0	0
2005-02-06	rameswaram	9.2882	79.3127	18.75	62.1	1013.44	5.09	358	16.2	45.5	11.33	0.0	0	0
2005-02-07	rameswaram	9.2882	79.3127	18.56	61.5	1015.63	8.11	55	18.0	28.6	11.02	0.0	0	0
2005-02-08	rameswaram	9.2882	79.3127	20.17	58.6	1007.64	8.99	278	13.56	34.8	11.79	0.0	0	0
2005-02-09	rameswaram	9.2882	79.3127	12.64	65.3	1006.86	8.75	69	11.59	3.6	6.3	0.0	0	0
2005-02-10	rameswaram	9.2882	79.3127	20.25	55.3	1008.12	11.43	108	15.43	5.8	10.98	0.0	0	0
2005-02-11	rameswaram	9.2882	79.3127	20.02	59.8	1014.69	9.42	285	8.16	33.8	11.97	0.0	0	0
2005-02-12	rameswaram	9.2882	79.3127	18.78	58.5	1019.02	12.88	60	23.1	22.1	10.47	0.0	0	0
